"anio","geocodigoFundar","metrica","fuente","valor"
"1832","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1833","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1834","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1835","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1836","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1837","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1838","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1839","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1840","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1841","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1842","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1843","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1844","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1845","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1846","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1847","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1848","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1849","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1850","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1851","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1852","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.157"
"1900","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1901","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1902","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1903","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1904","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1905","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1906","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1907","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1908","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1909","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.324"
"1910","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.33"
"1911","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.33"
"1912","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.33"
"1913","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.33"
"1914","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.33"
"1915","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.325"
"1916","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.34"
"1917","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.372"
"1918","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.372"
"1919","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.372"
"1920","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.362"
"1921","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.362"
"1922","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.362"
"1923","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.367"
"1924","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1925","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1926","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1927","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1928","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1929","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1930","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.387"
"1931","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.349"
"1932","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.355"
"1933","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.395"
"1934","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.395"
"1935","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.395"
"1936","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.399"
"1937","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.397"
"1938","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1939","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1940","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1941","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1942","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.401"
"1943","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.352"
"1944","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.341"
"1945","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.358"
"1946","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.481"
"1947","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.484"
"1948","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.484"
"1949","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.484"
"1950","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.482"
"1951","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.582"
"1952","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.582"
"1953","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.582"
"1954","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.582"
"1955","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.427"
"1956","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.409"
"1957","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.418"
"1958","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.468"
"1959","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.527"
"1960","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.522"
"1961","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.522"
"1962","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.514"
"1963","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.517"
"1964","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.536"
"1965","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.546"
"1966","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.467"
"1967","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.415"
"1968","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.415"
"1969","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.415"
"1970","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.423"
"1971","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.423"
"1972","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.426"
"1973","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.546"
"1974","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.567"
"1975","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.573"
"1976","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.327"
"1977","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.327"
"1978","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.327"
"1979","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.327"
"1980","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.344"
"1981","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.344"
"1982","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.344"
"1983","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.544"
"1984","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.707"
"1985","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.708"
"1986","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.716"
"1987","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.721"
"1988","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.722"
"1989","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.733"
"1990","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.724"
"1991","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.771"
"1992","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.77"
"1993","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.81"
"1994","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.809"
"1995","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.833"
"1996","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.833"
"1997","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.845"
"1998","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.845"
"1999","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.842"
"2000","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.847"
"2001","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.852"
"2002","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.837"
"2003","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.837"
"2004","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.845"
"2005","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.845"
"2006","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.844"
"2007","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.844"
"2008","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.847"
"2009","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.846"
"2010","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.844"
"2011","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.844"
"2012","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.845"
"2013","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.841"
"2014","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.837"
"2015","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.838"
"2016","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.832"
"2017","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.843"
"2018","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.856"
"2019","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.852"
"2020","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.839"
"2021","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.827"
"2022","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.851"
"2023","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.856"
"2024","ARG","Índice de empoderamiento político de las mujeres","Varieties of Democracy (V-Dem)","0.849"
