"decil","codigo","desagregacion","gran_categoria","categoria","subcategoria","rubro","instrumento","variable","valor"
"2","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.008073065666356"
"3","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0079189604889314"
"4","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0103089414575386"
"5","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0085619214653075"
"6","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0043442203493075"
"7","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0061911678646942"
"8","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0027524855141042"
"9","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0028440204837691"
"10","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Concentración per cápita (en dólares PPP 2011)","0.0000641103297309"
"1","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00471046801105627"
"2","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00124640552248228"
"3","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000789830061907946"
"4","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00076118633690961"
"5","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000494613267457239"
"6","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000199441470665515"
"7","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00022694385967505"
"8","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000785253188502849"
"9","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0000590994001487415"
"10","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000000698819035721625"
"1","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.132622111910398"
"2","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.137172625307359"
"3","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.13454012177941"
"4","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.174743345395679"
"5","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.145803236210577"
"6","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.0737897853133462"
"7","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.105111336849038"
"8","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.0468079995524313"
"9","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.0483201729876091"
"10","3.1.1.2.07","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Jóvenes con más y mejor trabajo","Participación en la concentración","0.00108926469415293"
"1","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","1.69888354371718"
"2","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.703299074192987"
"3","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.677540434951664"
"4","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.66482128804569"
"5","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.650609220637852"
"6","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.519048999693016"
"7","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.394581817585856"
"8","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.544425837598445"
"9","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.436029029210763"
"10","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Concentración per cápita (en dólares PPP 2011)","0.44455246659041"
"1","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","1.02501269729241"
"2","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.108582772178353"
"3","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0675772791682687"
"4","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0490887336038721"
"5","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0375850156721729"
"6","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0238293381832579"
"7","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0144638172631672"
"8","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0155318573953205"
"9","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00906078357060339"
"10","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00484573589520071"
"1","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.252255284554394"
"2","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.104454741470655"
"3","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.100618538824764"
"4","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.0985032675628283"
"5","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.0968445721643256"
"6","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.0770640638131695"
"7","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.0585562419374638"
"8","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.0809269017929607"
"9","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.064754553273448"
"10","3.1.1.2.08","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Pensiones no contributivas","Participación en la concentración","0.0660218346059905"
"1","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.031733121402311"
"2","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0406794274547968"
"3","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0406424696792094"
"4","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0555873207963367"
"5","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.051894481266968"
"6","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0624425983749807"
"7","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0620163992207503"
"8","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0517975760100436"
"9","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0473864105431666"
"10","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Concentración per cápita (en dólares PPP 2011)","0.0456036371445138"
"1","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0191460165014732"
"2","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00628052156721306"
"3","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00405364370584873"
"4","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00410442810931292"
"5","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00299789002345535"
"6","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00286671546347031"
"7","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00227327724104617"
"8","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00147772664052851"
"9","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000984700516148095"
"10","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000497091340326501"
"1","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.0647818696046055"
"2","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.0830667014982746"
"3","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.0829825734187656"
"4","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.113236251143521"
"5","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.106203851519714"
"6","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.127464291405119"
"7","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.126533842039529"
"8","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.105858964971766"
"9","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.0967548493763194"
"10","3.1.1.2.09","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Progresar","Participación en la concentración","0.0931168050223856"
"1","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0297670990875259"
"2","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0217112549545797"
"3","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0243333186478078"
"4","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0188685187102151"
"5","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.02211607250613"
"6","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0193912459462989"
"7","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0214225923014524"
"8","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0131039410433887"
"9","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0186245230967263"
"10","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Concentración per cápita (en dólares PPP 2011)","0.0241309464995747"
"1","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0179598269929176"
"2","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00335201386855852"
"3","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.002426983516446"
"4","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00139320401605697"
"5","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00127762242738409"
"6","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000890244577530014"
"7","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000785267963555167"
"8","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000373840713549526"
"9","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000387021876021862"
"10","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.000263033505437487"
"1","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.139422595749231"
"2","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.101716879308307"
"3","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.113989308308316"
"4","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.0881867858287004"
"5","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.103844395706319"
"6","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.0908174389410486"
"7","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.100283189361358"
"8","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.0614435223082753"
"9","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.0872489192350032"
"10","3.1.1.2.10","9","Transferencias y subsidios","Transferencias","Transferencias monetarias","No contributivas","Seguro de desempleo","Participación en la concentración","0.113046965253441"
"1","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","2.21900189029813"
"2","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","2.30802403280209"
"3","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","1.94430372832835"
"4","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","1.82541874141415"
"5","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","1.84180069302905"
"6","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","1.61939244254942"
"7","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","1.55078308114995"
"8","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","1.27361264663641"
"9","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","0.9861594416098"
"10","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Concentración per cápita (en dólares PPP 2011)","0.892233972107753"
"1","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","1.33882344159671"
"2","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.356337235369577"
"3","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.19392312112933"
"4","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.134784333660863"
"5","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.10639890385299"
"6","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0743456787080701"
"7","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0568456074276252"
"8","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0363347376966776"
"9","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.0204926201420741"
"10","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.00972557911717437"
"1","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.134786666607171"
"2","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.140230033141625"
"3","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.11811892717656"
"4","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.110642204942709"
"5","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.112152846368448"
"6","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.0983576749080751"
"7","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.0941455461010199"
"8","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.0774469191693027"
"9","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.0599121137195258"
"10","3.1.2.1.01","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Hospital público","Participación en la concentración","0.0542070678655631"
"1","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","1.46484953241602"
"2","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","1.40840009417974"
"3","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","1.58156468306339"
"4","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","1.65064288339222"
"5","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","1.65387040076926"
"6","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","1.83455539634463"
"7","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","1.84869855682139"
"8","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","2.13970242021696"
"9","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","2.38907059694655"
"10","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Concentración per cápita (en dólares PPP 2011)","2.42094504233346"
"1","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.883809473522829"
"2","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.217443747864689"
"3","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.157743852022165"
"4","3.1.2.1.02","9","Transferencias y subsidios","Transferencias","Transferencias en especie","Salud","Obras sociales","Incidencia fiscal respecto al ingreso de mercado más pensiones","0.121879323413602"
