"anio","codigo","finalidades","funciones","subfunciones","gasto_publico_consolidado"
"2017","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.904487881276515"
"2018","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.747251265599454"
"2019","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.819035881362264"
"2020","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.886428561861281"
"2021","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.771715565554807"
"2022","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","0.788813432235231"
"2023","1.2.2.3","GASTO PÚBLICO SOCIAL","Salud","INSSJyP - Atención de la salud","1.02546652903556"
"1980","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.239474735227702"
"1981","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.199911124006597"
"1982","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.154530503226679"
"1983","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.148691785537325"
"1984","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.193250814905607"
"1985","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.176710920446439"
"1986","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.184753591590178"
"1987","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.182900426761901"
"1988","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.177317312845937"
"1989","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.135183923786576"
"1990","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.142864182707566"
"1991","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.141561575493637"
"1992","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.139062191135641"
"1993","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.209342878025638"
"1994","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.212279608725784"
"1995","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.241221641919155"
"1996","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.239706028849186"
"1997","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.256295957508115"
"1998","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.239286873114266"
"1999","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.24478010147938"
"2000","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.20969506018378"
"2001","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.204928568839537"
"2002","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.189656145309625"
"2003","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.205207273772717"
"2004","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.208586133602061"
"2005","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.217161260938343"
"2006","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.281996567281716"
"2007","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.349167889701351"
"2008","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.396276633557117"
"2009","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.51041174201314"
"2010","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.520247516453484"
"2011","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.592376592148648"
"2012","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.549946802605142"
"2013","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.534331517041922"
"2014","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.58727041523471"
"2015","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.60696002432824"
"2016","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.519061450410838"
"2017","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.559556246712745"
"2018","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.475161680868284"
"2019","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.382790615139844"
"2020","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.542350361349046"
"2021","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.560541625190203"
"2022","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.593181930983877"
"2023","1.2.3","GASTO PÚBLICO SOCIAL","Agua potable y alcantarillado",,"0.680249048691894"
"1980","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.781870947180689"
"1981","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.45042808443761"
"1982","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.457841557502353"
"1983","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.670820625208016"
"1984","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.592803290406058"
"1985","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.587898972064111"
"1986","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.743545293331529"
"1987","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.832701230030486"
"1988","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.638761034167565"
"1989","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.5077257058725"
"1990","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.707865536460957"
"1991","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.616686028950599"
"1992","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.456097459366779"
"1993","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.606502059252652"
"1994","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.626202936349295"
"1995","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.540555264751392"
"1996","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.507466889832438"
"1997","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.56251288917691"
"1998","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.600827539286438"
"1999","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.564178882096993"
"2000","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.601709933506054"
"2001","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.744386700271485"
"2002","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.522681063028783"
"2003","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.604258754557556"
"2004","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.647250567943044"
"2005","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.961194144692436"
"2006","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.06852264315432"
"2007","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.975491384268947"
"2008","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.848704456774765"
"2009","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.04292529029562"
"2010","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.935975539257669"
"2011","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.862152709960092"
"2012","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.791920216867545"
"2013","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.0495225387391"
"2014","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.10818676371842"
"2015","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.18827175217238"
"2016","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.941570220296285"
"2017","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.02289401557416"
"2018","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.903323480578039"
"2019","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.850467910254129"
"2020","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.774726269854473"
"2021","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.34486929388104"
"2022","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"1.01269805167452"
"2023","1.2.4","GASTO PÚBLICO SOCIAL","Vivienda y urbanismo",,"0.938284251889906"
"1980","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.469522961111524"
"1981","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.512867873100666"
"1982","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.316119542634851"
"1983","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.355799500133111"
"1984","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.501225025298512"
"1985","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.686592888014837"
"1986","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.720939800056777"
"1987","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.795797484057506"
"1988","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.695313836143924"
"1989","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.838279926477862"
"1990","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.586573089863864"
"1991","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.638712736014533"
"1992","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.690783089725018"
"1993","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.700132579264331"
"1994","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.724323517882102"
"1995","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.635012622981503"
"1996","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.655766722681534"
"1997","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.793227832441717"
"1998","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.883912945495253"
"1999","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.937899288562832"
"2000","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.890167838342959"
"2001","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.905270517574356"
"2002","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","0.86845307435924"
"2003","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.07543795334204"
"2004","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.00741407087651"
"2005","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.07541591648546"
"2006","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.11237482053964"
"2007","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.13779655181217"
"2008","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.16500387811406"
"2009","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.38537371633097"
"2010","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.33854600554749"
"2011","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.29811779659111"
"2012","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.20952500230109"
"2013","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.20231694136732"
"2014","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.24330871595294"
"2015","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.26861980129899"
"2016","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.1974865541497"
"2017","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.38200371378809"
"2018","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.3346844571651"
"2019","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","1.40331429583695"
"2020","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","2.87138258742379"
"2021","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","2.22169023943166"
"2022","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","2.53435993949451"
"2023","1.2.5.1","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Promoción y asistencia social pública","2.4222227589445"
"1980","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.235112786443146"
"1981","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.331709345182098"
"1982","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.262289313353473"
"1983","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.246925083929171"
"1984","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.23964052643448"
"1985","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.244372879282295"
"1986","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.272532990385152"
"1987","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.277186080570515"
"1988","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.265654784553026"
"1989","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.215625888259319"
"1990","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.245405156339922"
"1991","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.198897255692512"
"1992","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.167466422711161"
"1993","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.157221475826802"
"1994","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.146446787665004"
"1995","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.144242126316961"
"1996","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.129580293588732"
"1997","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.121805642887302"
"1998","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.114424892435931"
"1999","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.113572987160653"
"2000","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.111232830904876"
"2001","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.146718979639761"
"2002","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.103956957525991"
"2003","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.0992253019922978"
"2004","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.0893690072387652"
"2005","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.0885698479022335"
"2006","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.0854664207789801"
"2007","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.0856713923704985"
"2008","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.090523670202329"
"2009","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.127036713476017"
"2010","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.124834069276533"
"2011","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.13278916375936"
"2012","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.146846409130131"
"2013","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.148763565973321"
"2014","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.143194370412969"
"2015","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.155443719344219"
"2016","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.153105851697822"
"2017","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.160530040000908"
"2018","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.14833504072378"
"2019","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.149128393828054"
"2020","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.16451184024799"
"2021","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.139681696598427"
"2022","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.136376222107211"
"2023","1.2.5.2","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","Obras sociales - Prestaciones sociales","0.13366707088188"
"1980","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0312278786711807"
"1981","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0380953315629752"
"1982","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0319932685581071"
"1983","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.03623014557541"
"1984","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0391905406639675"
"1985","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0419960523804443"
"1986","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0464578114759367"
"1987","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0445113420318694"
"1988","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0440719929579644"
"1989","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0347215583828836"
"1990","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0480914016486067"
"1991","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0555400669783188"
"1992","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0611738656723338"
"1993","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.101625766766987"
"1994","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.158952398092864"
"1995","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.158176659433021"
"1996","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.11525173750511"
"1997","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.121581716910437"
"1998","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.119832970343053"
"1999","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.122913362056909"
"2000","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.116647813952481"
"2001","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0998312549781269"
"2002","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.080507729778902"
"2003","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0910080973226729"
"2004","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.0898215844652507"
"2005","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.125137537072081"
"2006","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.1406322490501"
"2007","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.14809389459232"
"2008","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.173788060644439"
"2009","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.197058320305485"
"2010","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.1841144319921"
"2011","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.267985633941979"
"2012","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.283833890458772"
"2013","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.258637678502808"
"2014","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.118256398430384"
"2015","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.116786882266582"
"2016","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.247938068844694"
"2017","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.228060647910213"
"2018","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.163965978466321"
"2019","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.179717353020513"
"2020","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.194505025243243"
"2021","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.169334069339624"
"2022","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.17308577718543"
"2023","1.2.5.3","GASTO PÚBLICO SOCIAL","Promoción y asistencia social","INSSJyP - Prestaciones sociales","0.225013499900488"
"1980","1.2.6","GASTO PÚBLICO SOCIAL","Previsión social",,"5.17820684125518"
"1981","1.2.6","GASTO PÚBLICO SOCIAL","Previsión social",,"5.3100723712659"
"1982","1.2.6","GASTO PÚBLICO SOCIAL","Previsión social",,"3.64663646776288"
"1983","1.2.6","GASTO PÚBLICO SOCIAL","Previsión social",,"3.45745583284585"
"1984","1.2.6","GASTO PÚBLICO SOCIAL","Previsión social",,"4.04485488715593"
"1985","1.2.6","GASTO PÚBLICO SOCIAL","Previsión social",,"5.51343967396334"
"1986","1.2.6","GASTO PÚBLICO SOCIAL","Previsión social",,"6.07269079119632"
